State,State_code,District,District_code,Market_code,Market
Andaman and Nicobar,AN,Nicobar,2,4362,Car Nicobar
Andaman and Nicobar,AN,North and Middle Andaman,3,4364,Diglipur
Andaman and Nicobar,AN,North and Middle Andaman,3,4363,Mayabandar
Andaman and Nicobar,AN,South Andaman,1,366,Port Blair
Andhra Pradesh,AP,Anantapur,12,873,Anantapur
Andhra Pradesh,AP,Anantapur,12,386,Dharmavaram
Andhra Pradesh,AP,Anantapur,12,919,Gooti
Andhra Pradesh,AP,Anantapur,12,922,Guntakal
Andhra Pradesh,AP,Anantapur,12,925,Hindupur
Andhra Pradesh,AP,Anantapur,12,3580,"Hindupur,RBZ"
Andhra Pradesh,AP,Anantapur,12,939,Kadiri
Andhra Pradesh,AP,Anantapur,12,942,Kalyandurg
Andhra Pradesh,AP,Anantapur,12,976,Madakasira
Andhra Pradesh,AP,Anantapur,12,1236,"P. Ramacharyulu Park,RBZ"
Andhra Pradesh,AP,Anantapur,12,385,Penukonda
Andhra Pradesh,AP,Anantapur,12,1048,Rayadurg
Andhra Pradesh,AP,Anantapur,12,1066,Tadipatri
Andhra Pradesh,AP,Anantapur,12,3457,Tenakallu
Andhra Pradesh,AP,Anantapur,12,1082,Urvakonda
Andhra Pradesh,AP,Chittor,13,879,Bangarupalem
Andhra Pradesh,AP,Chittor,13,893,Chittoor
Andhra Pradesh,AP,Chittor,13,3576,"Chittoor (MGH),RBZ"
Andhra Pradesh,AP,Chittor,13,4291,Chittor(Rythu Bazar)
Andhra Pradesh,AP,Chittor,13,3811,Kalikiri
Andhra Pradesh,AP,Chittor,13,967,Kuppam
Andhra Pradesh,AP,Chittor,13,975,Madanapalli
Andhra Pradesh,AP,Chittor,13,2170,Mulakalacheruvu
Andhra Pradesh,AP,Chittor,13,2171,Nagalapuram
Andhra Pradesh,AP,Chittor,13,995,Nagari
Andhra Pradesh,AP,Chittor,13,1016,Pakala
Andhra Pradesh,AP,Chittor,13,382,Palamaner
Andhra Pradesh,AP,Chittor,13,1028,Piler
